id,time,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,mood_level
AS14.28,2014-04-10,7.0,-1.0,0.5,0.2238484274709124,58.80615106761028,,,15.448815573770492,39.37890909090909,90.1585,6.426333333333333,21.6152,,13.7832,42.2748,36.44278947368421,,3.012,,medium
AS14.28,2014-04-11,7.4,-0.6,0.2,0.3332305813491699,105.37811249494548,1.0,1.0,10.7658216374269,42.121515625,68.318,7.233999999999999,,,20.3765,45.79557142857143,30.66376595744681,,4.308,10.104,medium
AS14.28,2014-04-12,7.8,-0.404,1.2,0.0371925559830254,63.79651111629276,,,9.743649350649353,29.518866666666664,52.333777777777776,7.753166666666666,61.634125,,14.6064,35.55916129032258,,50.387,50.54931578947369,14.090333333333334,medium
AS14.28,2014-04-13,7.2,-0.6,0.8,0.0424249773952518,107.23797803920704,1.0,,9.084804020100504,52.54994444444444,64.56775,,189.275,,9.9776,58.10132558139535,,15.027,12.794083333333331,53.4295,medium
AS14.28,2014-04-14,6.8,-0.858,0.572,0.106119599937788,70.20420001091493,,1.0,20.154315384615387,43.16366101694915,38.197,7.570166666666666,47.055,,11.7276,58.131484848484845,7.27,,29.805363636363637,33.129,medium
AS14.28,2014-04-15,6.8,-0.2,0.4,0.1172585749654264,67.92141379487923,,,13.217070038910505,34.85605617977528,,11.79253846153846,67.38457142857143,,17.38566666666667,53.49647457627118,,,2.097,43.824,medium
AS14.28,2014-04-16,6.75,0.5,0.0,0.0358923264784062,93.26824769842516,,,19.53482722513089,45.25539436619718,291.084,10.928,4.053,,11.0436,65.1368,,,,39.618,medium
AS14.28,2014-04-17,7.8,-0.428,0.906,0.107937415254637,75.32455554841053,1.0,,8.485712727272727,32.49775384615384,86.22,10.414,158.831,,12.6016,49.23232835820896,,21.632,,,medium
AS14.28,2014-04-18,5.8,-0.2,0.388,0.0347510797508079,68.61900652156157,,,10.737389830508477,53.56117777777778,38.96783333333334,10.2221,121.838875,,10.2972,33.89125531914894,28.6632,9.035,22.484724137931035,35.589,low
AS14.28,2014-04-19,6.75,-0.5,0.3974999999999999,0.020545114412761,67.77405434328578,1.0,,7.566317829457364,31.405653846153847,71.011,4.0895,,,9.7502,72.13817857142857,67.47366666666666,18.08,24.210041666666665,11.094,medium
AS14.28,2014-04-20,8.0,-0.25,1.0,0.031283807396403,64.30659303554269,,,7.023478632478632,17.2104,92.98833333333332,,211.4,,9.2974,56.72257142857143,,,22.339142857142857,,medium
AS14.28,2014-04-21,8.0,-0.256,0.954,0.0756566698296156,65.29251352194191,,,7.309746575342466,25.336543478260868,57.391,,13.487799999999998,,9.2864,59.24547826086956,42.89575000000001,43.577,16.0305,39.01,medium
AS14.28,2014-04-22,7.25,-0.75,1.0,0.1572529041154299,119.03826514337996,,,32.22759274193548,46.08703333333333,526.931,,47.307,,9.2958,47.23639583333334,20.64555555555556,,10.1685,14.918666666666669,medium
AS14.28,2014-04-23,7.0,0.236,0.892,0.0951148533806443,74.48685599899294,,1.0,19.961717391304347,43.56545714285714,47.379,7.9635,46.7675,,10.0008,70.13526470588236,56.38166666666666,16.097,,26.72,medium
AS14.28,2014-04-24,8.0,-0.2,1.2,0.1191317811277904,61.1345729776331,,,13.2568669527897,49.711194444444445,139.19199999999998,,41.332,,10.4992,50.01372413793103,,,23.37815584415584,32.64125,medium
AS14.28,2014-04-25,7.0,-0.2,0.79,0.1303849575356077,43.802524748415024,,,16.67778918918919,25.41144117647059,34.246,7.386666666666667,18.6215,,11.6488,47.6092,22.38675,,10.033,15.6775,medium
AS14.28,2014-04-26,8.0,0.0,1.0,0.0330103700922375,73.47230356931686,,,6.718405172413793,20.702962962962964,19.47675,6.060499999999999,29.7165,23.264,11.2184,50.93552777777777,129.18,40.239,,20.9114,medium
AS14.28,2014-04-27,7.25,0.25,0.5,0.0531420002146689,184.1371052610247,,,5.75177380952381,38.59478048780488,32.87947058823529,6.853,25.666,,9.394666666666668,88.7062105263158,60.708333333333336,24.225,16.919857142857143,18.930222222222223,medium
AS14.28,2014-04-28,7.5,-0.5,1.0,0.0923567273620886,64.23769999742515,,,24.87410606060606,37.58822222222222,37.4995,,,,336.525,41.54871428571429,27.32166666666667,,7.022,,medium
AS14.28,2014-04-29,7.0,-0.2,0.8,0.0,,,,3.16,8.015333333333333,,,,,,,,,,,medium
AS14.28,2014-04-30,6.2,-0.2,0.2,0.0305982562516532,91.346533314387,,,5.742027027027027,13.131344827586208,,,,,11.825,79.20759999999999,,59.238,12.065,,medium
AS14.28,2014-05-01,6.4,-0.6,0.4,0.0574909285561297,64.53758014431438,,1.0,26.075329268292684,33.73546666666667,75.85083333333333,14.858833333333337,31.09955,,31.591375,45.193038461538464,41.4565,18.915,,40.242,medium
AS14.28,2014-05-02,6.8,-0.456,0.89,0.0822636340373376,67.8084615432299,1.0,,14.701601503759395,30.817070588235293,54.501,5.023,101.4745,,31.207285714285717,50.29819642857143,30.166,84.101,12.8895,,medium
AS14.28,2014-05-03,7.4,-0.056,1.0,0.0541987480797515,55.79395804205143,1.0,,12.093985347985347,28.141767441860463,48.24566666666667,6.0175,51.81788888888889,,8.9425,48.84176923076923,,46.672,13.6238125,43.93,medium
AS14.28,2014-05-04,6.8,-0.4,0.8,0.0292191013874883,79.37857546221537,,,12.567329787234042,32.589564102564104,87.91266666666667,,123.78033333333332,,23.98914285714286,45.33926470588236,39.58833333333333,,19.0532,15.042,medium
AS14.28,2014-05-05,7.0,0.5,1.0,0.0639670648571114,59.211152376447416,,,6.685010256410257,24.85228301886793,52.159,4.0165,153.348,,48.319272727272725,45.97661111111111,47.757,41.7905,23.896631578947368,26.735,medium
AS14.28,2014-05-06,,,,0.0720954976869299,66.87971286254356,1.0,,30.57401,45.98255102040816,40.559,3.33725,21.003,,3.164,46.84018421052631,28.435,32.111,66.22,31.711,low
AS14.28,2014-05-07,6.333333333333333,0.0,0.1666666666666666,0.0279668578417859,65.0410566037556,1.0,,11.406242152466367,25.090081967213116,33.8965,9.159,45.553333333333335,,15.419142857142855,39.49525454545454,80.198,33.676,,4.593,medium
AS14.28,2014-05-08,6.5,0.0,0.5,0.0357688707816894,52.34476471414755,,,26.763886597938143,34.55770588235294,,,148.867,,13.064,59.07557142857143,,,,,medium
AS14.29,2014-02-17,,,,,,1.0,1.0,,,,,,,,,,,,,low
AS14.29,2014-02-18,,,,,,,,,,,,,,,,,,,,low
AS14.29,2014-02-19,,,,,,1.0,1.0,,,,,,,,,,,,,low
AS14.29,2014-02-20,,,,,,,1.0,,,,,,,,,,,,,low
AS14.29,2014-02-21,,,,,,,,,,,,,,,,,,,,low
AS14.29,2014-02-22,,,,,,1.0,1.0,,,,,,,,,,,,,low
AS14.29,2014-02-23,,,,,,1.0,1.0,,,,,,,,,,,,,low
AS14.29,2014-02-24,,,,,,,1.0,,,,,,,,,,,,,low
AS14.29,2014-02-25,,,,,,1.0,,,,,,,,,,,,,,low
AS14.29,2014-02-26,,,,,,,,,,,,,,,,,,,,low
AS14.29,2014-02-27,,,,,,,1.0,,,,,,,,,,,,,low
AS14.29,2014-02-28,,,,,,,1.0,,,,,,,,,,,,,low
AS14.29,2014-03-01,,,,,,,,,,,,,,,,,,,,low
AS14.29,2014-03-02,,,,,,,1.0,,,,,,,,,,,,,low
AS14.29,2014-03-03,,,,,,,,,,,,,,,,,,,,low
AS14.29,2014-03-04,,,,,,1.0,1.0,,,,,,,,,,,,,low
AS14.29,2014-03-05,,,,,,1.0,,,,,,,,,,,,,,low
AS14.29,2014-03-06,,,,,,1.0,1.0,,,,,,,,,,,,,low
AS14.29,2014-03-07,,,,,,,1.0,,,,,,,,,,,,,low
AS14.29,2014-03-08,,,,,,,1.0,,,,,,,,,,,,,low
AS14.29,2014-03-09,,,,,,,,,,,,,,,,,,,,low
AS14.29,2014-03-10,,,,,,1.0,,,,,,,,,,,,,,low
AS14.29,2014-03-11,,,,,,,,,,,,,,,,,,,,low
AS14.29,2014-03-12,,,,,,,,,,,,,,,,,,,,low
AS14.29,2014-03-13,,,,,,1.0,1.0,,,,,,,,,,,,,low
AS14.29,2014-03-14,,,,,,1.0,1.0,,,,,,,,,,,,,low
AS14.29,2014-03-15,,,,,,1.0,1.0,,,,,,,,,,,,,low
AS14.29,2014-03-16,,,,,,,,,,,,,,,,,,,,low
AS14.29,2014-03-17,,,,,,1.0,,,,,,,,,,,,,,low
AS14.29,2014-03-18,,,,,,,,,,,,,,,,,,,,low
AS14.29,2014-03-19,,,,,,1.0,1.0,,,,,,,,,,,,,low
AS14.29,2014-03-20,,,,,,,1.0,,,,,,,,,,,,,low
AS14.29,2014-03-21,,,,,,1.0,1.0,,,,,,,,,,,,,low
