id,time,appCat.utilities
AS14.01,2014-04-14 23:59:19.747,21.26
AS14.01,2014-04-15 08:59:42.928,1.005
AS14.01,2014-04-15 08:59:46.005,2.014
AS14.01,2014-04-15 09:15:16.773,53.18
AS14.01,2014-04-15 09:16:17.108,48.147
AS14.01,2014-04-15 09:20:22.022,27.181
AS14.01,2014-04-15 09:53:34.681,3.07
AS14.01,2014-04-15 15:25:55.240,50.492
AS14.01,2014-04-15 15:30:34.844,25.219
AS14.01,2014-04-15 15:31:08.437,10.042
AS14.01,2014-04-15 15:31:55.848,9.136
AS14.01,2014-04-15 22:22:58.493,1.003
AS14.01,2014-04-15 22:22:59.500,43.26
AS14.01,2014-04-15 22:23:58.174,4.018
AS14.01,2014-04-15 22:37:42.773,2.026
AS14.01,2014-04-16 00:09:44.546,21.078
AS14.01,2014-04-16 00:10:46.875,3.03
AS14.01,2014-04-16 08:16:24.576,55.181
AS14.01,2014-04-16 09:25:12.438,49.344
AS14.01,2014-04-16 09:47:16.440,16.146
AS14.01,2014-04-16 10:27:49.757,8.039
AS14.01,2014-04-16 14:59:08.848,29.178
AS14.01,2014-04-16 20:48:21.730,2.038
AS14.01,2014-04-16 21:17:41.601,27.433
AS14.01,2014-04-16 21:19:57.849,12.12
AS14.01,2014-04-17 00:02:23.927,10.491
AS14.01,2014-04-17 11:28:35.299,5.02
AS14.01,2014-04-17 20:35:43.092,34.207
AS14.01,2014-04-18 00:06:52.986,6.103
AS14.01,2014-04-18 12:23:36.081,56.219
AS14.01,2014-04-18 12:26:19.885,20.327
AS14.01,2014-04-18 14:40:15.441,6.031
AS14.01,2014-04-19 10:56:32.181,22.081
AS14.01,2014-04-19 10:57:45.533,73.405
AS14.01,2014-04-19 10:59:37.184,6.115
AS14.01,2014-04-19 12:47:45.213,163.983
AS14.01,2014-04-19 13:24:37.809,8.045
AS14.01,2014-04-19 15:05:38.026,18.079
AS14.01,2014-04-19 15:06:38.562,2.047
AS14.01,2014-04-19 15:37:00.990,3.009
AS14.01,2014-04-19 17:47:21.082,9.032
AS14.01,2014-04-20 02:12:40.986,22.065
AS14.01,2014-04-20 14:41:22.434,29.358
AS14.01,2014-04-20 17:56:22.430,14.192
AS14.01,2014-04-20 17:58:46.375,3.155
AS14.01,2014-04-20 18:04:09.980,9.042
AS14.01,2014-04-20 18:05:05.243,2.066
AS14.01,2014-04-20 18:05:26.394,1.011
AS14.01,2014-04-20 20:08:08.529,8.029
AS14.01,2014-04-20 20:20:05.494,15.055
AS14.01,2014-04-20 20:26:56.257,17.062
AS14.01,2014-04-21 14:33:43.648,21.068
AS14.01,2014-04-21 18:37:33.329,23.207
AS14.01,2014-04-21 18:38:30.744,10.337
AS14.01,2014-04-21 19:05:11.500,31.103
AS14.01,2014-04-21 19:06:16.071,87.597
AS14.01,2014-04-21 21:36:46.667,16.193
AS14.01,2014-04-21 21:39:16.849,6.335
AS14.01,2014-04-21 21:40:40.480,7.015
AS14.01,2014-04-21 21:42:53.151,5.017
AS14.01,2014-04-21 21:43:37.303,3.01
AS14.01,2014-04-22 00:04:58.964,3.015
AS14.01,2014-04-22 09:50:38.733,1.001
AS14.01,2014-04-22 09:50:39.736,54.229
AS14.01,2014-04-22 09:58:22.246,44.322
AS14.01,2014-04-22 10:02:58.819,1.002
AS14.01,2014-04-22 10:02:59.822,21.115
AS14.01,2014-04-22 10:03:35.046,4.016
AS14.01,2014-04-22 10:03:44.088,45.148
AS14.01,2014-04-22 16:48:50.275,36.185
AS14.01,2014-04-22 16:50:46.828,39.186
AS14.01,2014-04-22 19:31:12.048,27.079
AS14.01,2014-04-22 19:32:40.325,15.049
AS14.01,2014-04-22 19:35:16.377,26.327
AS14.01,2014-04-22 21:20:21.358,1.003
AS14.01,2014-04-22 21:20:22.362,52.189
AS14.01,2014-04-22 21:21:45.680,16.079
AS14.01,2014-04-22 21:22:45.013,1.003
AS14.01,2014-04-22 21:23:13.223,10.042
AS14.01,2014-04-22 21:24:15.687,3.148
AS14.01,2014-04-22 21:24:31.881,4.017
AS14.01,2014-04-22 22:06:55.068,18.06
AS14.01,2014-04-23 15:42:27.348,6.027
AS14.01,2014-04-23 21:12:43.457,20.458
AS14.01,2014-04-23 21:53:49.105,26.725
AS14.01,2014-04-23 21:55:37.105,56.198
AS14.01,2014-04-23 22:03:41.959,21.831
AS14.01,2014-04-23 22:17:23.221,53.224
AS14.01,2014-04-23 22:46:59.042,21.287
AS14.01,2014-04-23 23:39:53.726,1.016
AS14.01,2014-04-23 23:39:54.750,11.041
AS14.01,2014-04-23 23:40:36.979,11.04
AS14.01,2014-04-23 23:41:20.305,18.097
AS14.01,2014-04-24 00:00:59.174,12.099
AS14.01,2014-04-24 00:04:42.318,26.112
AS14.01,2014-04-24 00:09:12.492,5.582
AS14.01,2014-04-24 00:16:09.582,1.01
AS14.01,2014-04-24 00:16:10.596,38.426
AS14.01,2014-04-24 00:20:17.461,3.055
AS14.01,2014-04-24 00:20:34.779,30.218
AS14.01,2014-04-24 00:25:17.948,25.096
AS14.01,2014-04-24 00:27:19.217,3.007
AS14.01,2014-04-24 00:53:36.523,1.006
AS14.01,2014-04-24 00:53:37.532,9.025
AS14.01,2014-04-24 04:21:57.558,1.002
AS14.01,2014-04-24 04:21:58.562,34.212
AS14.01,2014-04-24 04:23:30.933,4.018
AS14.01,2014-04-24 04:23:55.058,16.126
AS14.01,2014-04-24 18:26:00.286,1.001
AS14.01,2014-04-24 18:26:01.289,37.137
AS14.01,2014-04-24 18:26:48.565,16.048
AS14.01,2014-04-24 19:31:39.007,1.003
