id,time,appCat.finance
AS14.14,2014-03-28 16:08:50.246,49.292
AS14.14,2014-03-28 17:06:27.655,4.009
AS14.14,2014-03-29 08:05:35.697,48.237
AS14.14,2014-03-29 10:42:32.882,46.082
AS14.14,2014-03-29 10:43:39.328,2.159
AS14.14,2014-03-29 10:49:13.453,29.9
AS14.14,2014-03-29 10:57:42.454,2.519
AS14.14,2014-03-29 11:08:14.693,2.094
AS14.14,2014-03-29 11:11:53.023,2.864
AS14.14,2014-03-29 11:15:06.868,2.5
AS14.14,2014-03-29 11:17:42.790,6.144
AS14.14,2014-03-29 21:04:46.834,6.462
AS14.14,2014-03-29 21:05:24.072,6.1
AS14.14,2014-04-03 21:09:54.763,8.059
AS14.15,2014-04-28 15:39:16.641,10.036
AS14.15,2014-04-28 15:39:26.681,11.039
AS14.15,2014-04-28 15:39:37.726,75.574
AS14.16,2014-03-15 14:48:27.992,18.061
AS14.16,2014-03-15 15:03:54.247,2.004
AS14.16,2014-03-15 15:04:01.289,3.008
AS14.16,2014-03-15 16:02:16.348,11.107
