id,time,appCat.travel
AS14.02,2014-04-13 19:47:28.994,9.155
AS14.02,2014-04-13 20:10:33.747,6.979
AS14.02,2014-04-13 20:11:13.082,5.674
AS14.02,2014-04-13 20:14:56.186,3.198
AS14.02,2014-04-13 20:15:30.948,10.461
AS14.02,2014-04-13 20:16:06.013,10.318
AS14.02,2014-04-13 20:16:20.917,7.596
AS14.02,2014-04-13 20:17:58.188,0.333
AS14.02,2014-04-13 20:20:01.954,10.363
AS14.02,2014-04-13 20:20:19.930,19.256
AS14.02,2014-04-13 20:45:40.316,4.979
AS14.02,2014-04-13 20:47:08.039,7.227
AS14.03,2014-03-22 12:55:58.891,39.498
AS14.03,2014-03-22 21:43:50.295,51.412
AS14.03,2014-03-22 22:42:55.023,28.861
AS14.03,2014-03-22 22:43:24.095,6.543
AS14.03,2014-03-22 22:43:56.210,6.282
AS14.03,2014-03-22 23:01:45.349,31.603
AS14.03,2014-03-22 23:05:40.859,4.346
AS14.03,2014-03-23 10:17:49.618,32.334
AS14.03,2014-03-23 10:31:34.105,34.252
AS14.03,2014-03-23 10:34:23.789,5.035
AS14.03,2014-03-23 10:34:28.924,50.071
AS14.03,2014-03-23 19:02:15.174,16.047
AS14.03,2014-03-23 19:02:31.575,36.97
AS14.03,2014-03-23 19:03:13.851,97.217
AS14.03,2014-03-23 19:17:02.220,3.479
AS14.03,2014-03-26 13:41:09.940,1.738
AS14.03,2014-03-26 13:42:42.918,11.102
AS14.03,2014-04-02 08:42:37.720,14.516
AS14.03,2014-04-02 08:42:52.253,39.629
AS14.03,2014-04-05 23:21:55.157,14.152
AS14.03,2014-04-05 23:23:19.673,5.544
AS14.03,2014-04-19 10:16:53.878,49.926
AS14.03,2014-04-19 10:25:19.815,13.692
AS14.03,2014-04-19 10:34:36.868,1.376
AS14.03,2014-04-19 10:36:23.838,4.04
AS14.03,2014-04-20 00:12:01.993,16.699
AS14.03,2014-04-20 00:12:18.815,9.918
AS14.03,2014-04-21 00:35:24.612,10.253
AS14.03,2014-04-21 12:23:54.124,66.247
AS14.03,2014-04-21 12:25:01.641,90.719
AS14.03,2014-04-27 15:54:56.102,58.16
AS14.03,2014-04-27 15:56:23.516,8.52
AS14.03,2014-04-27 16:21:38.292,93.418
AS14.03,2014-04-27 22:01:33.105,5.995
AS14.03,2014-04-27 22:02:21.217,28.95
AS14.03,2014-04-27 22:10:47.890,13.312
AS14.03,2014-04-27 22:11:21.173,44.709
AS14.03,2014-04-27 22:15:02.987,23.145
AS14.03,2014-04-27 22:15:26.134,264.723
AS14.03,2014-05-01 22:16:54.052,99.744
AS14.03,2014-05-01 22:25:38.045,0.725
AS14.03,2014-05-01 22:40:25.789,8.087
AS14.03,2014-05-01 22:47:47.209,0.628
AS14.03,2014-05-01 22:50:28.117,3.056
AS14.03,2014-05-02 20:44:57.012,49.673
AS14.03,2014-05-03 14:33:52.163,54.462
AS14.03,2014-05-03 14:35:03.655,13.605
AS14.03,2014-05-03 14:49:28.059,1.254
AS14.03,2014-05-03 14:49:30.267,3.188
AS14.03,2014-05-05 17:13:11.338,70.925
AS14.03,2014-05-05 17:14:22.286,59.557
AS14.05,2014-04-21 15:17:56.147,5.029
AS14.06,2014-03-26 16:13:44.552,21.26
AS14.06,2014-03-26 16:14:14.980,38.91
AS14.06,2014-03-26 16:36:29.881,12.531
AS14.06,2014-03-26 16:47:31.253,60.309
AS14.06,2014-03-26 16:48:37.010,17.201
AS14.06,2014-03-26 16:58:40.812,71.049
AS14.06,2014-03-26 17:00:32.667,87.127
AS14.06,2014-03-26 17:03:24.381,66.986
AS14.06,2014-03-26 21:29:10.779,100.751
AS14.06,2014-03-26 21:33:22.536,20.463
AS14.06,2014-03-26 21:50:15.148,31.668
AS14.06,2014-03-26 21:59:04.519,18.581
AS14.06,2014-03-26 22:43:29.391,17.34
AS14.06,2014-03-28 16:26:14.582,24.401
AS14.06,2014-03-28 16:55:29.727,55.614
AS14.06,2014-04-02 17:06:48.095,22.122
AS14.06,2014-04-03 15:44:45.838,38.911
AS14.06,2014-04-03 15:54:34.265,44.847
AS14.06,2014-04-03 20:26:11.489,3.01
AS14.06,2014-04-03 21:53:33.341,80.747
AS14.06,2014-04-04 08:05:38.714,100.957
AS14.06,2014-04-04 08:34:15.118,133.343
AS14.06,2014-04-04 08:36:34.563,3.56
AS14.06,2014-04-04 08:37:55.865,2.006
AS14.06,2014-04-04 08:37:57.875,262.058
AS14.06,2014-04-04 08:42:32.005,47.035
AS14.06,2014-04-04 12:11:24.019,1.003
AS14.06,2014-04-05 11:47:04.780,21.482
AS14.06,2014-04-05 12:29:32.898,19.222
AS14.06,2014-04-05 19:01:24.298,78.976
AS14.06,2014-04-07 19:06:23.348,37.449
AS14.06,2014-04-08 00:36:33.045,4.01
AS14.06,2014-04-09 23:30:58.482,2.014
AS14.06,2014-04-09 23:31:01.513,245.602
AS14.06,2014-04-10 11:42:54.907,48.71
AS14.06,2014-04-10 12:51:26.612,58.064
AS14.06,2014-04-10 12:54:29.727,90.263
AS14.06,2014-04-10 13:04:24.105,141.059
AS14.06,2014-04-10 13:14:15.270,28.77
AS14.06,2014-04-10 13:24:28.157,24.363
AS14.06,2014-04-10 13:24:55.612,11.185
AS14.06,2014-04-10 13:28:37.638,85.269
AS14.06,2014-04-10 13:30:04.950,89.527
AS14.06,2014-04-10 13:32:07.421,35.474
AS14.06,2014-04-10 13:32:45.368,2.013
AS14.06,2014-04-10 13:35:05.647,69.089
AS14.06,2014-04-10 13:36:19.375,4.037
AS14.06,2014-04-10 13:49:21.880,24.774
AS14.06,2014-04-10 13:50:43.091,1.499
AS14.06,2014-04-10 13:53:17.500,5.055
AS14.06,2014-04-10 14:00:30.358,50.365
AS14.06,2014-04-10 14:04:09.802,8.072
AS14.06,2014-04-10 14:34:21.548,11.206
AS14.06,2014-04-10 14:36:50.706,38.795
AS14.06,2014-04-10 15:56:08.351,25.391
AS14.06,2014-04-10 16:27:06.493,16.234
AS14.06,2014-04-10 16:42:03.517,21.58
AS14.06,2014-04-11 16:44:32.318,36.431
AS14.06,2014-04-11 20:27:08.342,18.287
AS14.06,2014-04-11 20:54:50.951,2.005
AS14.06,2014-04-11 21:07:24.818,43.997
AS14.06,2014-04-12 17:56:02.802,3.475
AS14.06,2014-04-12 17:56:16.605,67.412
AS14.06,2014-04-13 17:37:36.927,34.555
AS14.06,2014-04-13 17:43:26.115,45.57
AS14.06,2014-04-13 17:51:39.447,6.036
AS14.06,2014-04-13 18:10:38.961,9.642
AS14.06,2014-04-13 18:11:26.993,92.625
