id,time,sms
AS14.06,2014-02-24 07:18:54.056,1.0
AS14.06,2014-02-24 07:46:48.000,1.0
AS14.06,2014-02-24 13:10:19.549,1.0
AS14.06,2014-02-24 17:31:29.000,1.0
AS14.06,2014-02-24 17:39:10.072,1.0
AS14.06,2014-02-24 19:11:39.095,1.0
AS14.06,2014-02-24 23:39:43.907,1.0
AS14.06,2014-02-25 08:39:21.000,1.0
AS14.06,2014-02-25 10:33:44.950,1.0
AS14.06,2014-02-25 12:39:17.000,1.0
AS14.06,2014-02-25 17:00:13.000,1.0
AS14.06,2014-02-25 17:25:24.095,1.0
AS14.06,2014-02-25 19:28:03.266,1.0
AS14.06,2014-02-25 19:31:53.000,1.0
AS14.06,2014-02-25 19:34:32.881,1.0
AS14.06,2014-02-25 22:44:30.000,1.0
AS14.06,2014-02-25 23:46:03.598,1.0
AS14.06,2014-02-26 08:45:37.000,1.0
AS14.06,2014-02-26 09:37:04.178,1.0
AS14.06,2014-02-26 11:04:57.453,1.0
AS14.06,2014-02-26 11:43:47.387,1.0
AS14.06,2014-02-26 15:08:17.427,1.0
AS14.06,2014-02-26 15:53:31.279,1.0
AS14.06,2014-02-26 16:54:42.000,1.0
AS14.06,2014-02-26 17:14:28.915,1.0
AS14.06,2014-02-26 23:58:17.265,1.0
AS14.06,2014-02-27 07:42:39.000,1.0
AS14.06,2014-02-27 10:18:24.641,1.0
AS14.06,2014-02-27 12:58:08.789,1.0
AS14.06,2014-02-27 13:51:22.219,1.0
AS14.06,2014-02-27 13:54:10.000,1.0
AS14.06,2014-02-27 13:56:29.371,1.0
AS14.06,2014-02-27 13:59:25.032,1.0
AS14.06,2014-02-27 14:04:13.000,1.0
AS14.06,2014-02-27 17:33:36.000,1.0
AS14.06,2014-02-27 23:43:44.897,1.0
AS14.06,2014-02-27 23:54:48.276,1.0
AS14.06,2014-02-28 07:29:17.000,1.0
AS14.06,2014-02-28 09:24:08.999,1.0
AS14.06,2014-02-28 20:19:45.237,1.0
AS14.06,2014-02-28 20:23:30.000,1.0
AS14.06,2014-02-28 20:33:57.836,1.0
AS14.06,2014-02-28 21:38:44.000,1.0
AS14.06,2014-02-28 21:41:59.132,1.0
AS14.06,2014-02-28 23:23:24.986,1.0
AS14.06,2014-02-28 23:29:21.000,1.0
AS14.06,2014-03-01 01:24:32.433,1.0
AS14.06,2014-03-01 11:07:40.115,1.0
AS14.06,2014-03-01 12:23:01.000,1.0
AS14.06,2014-03-01 13:12:09.539,1.0
AS14.06,2014-03-01 15:36:52.917,1.0
AS14.06,2014-03-07 13:42:36.000,1.0
AS14.06,2014-03-15 05:09:37.000,1.0
AS14.06,2014-03-15 05:11:21.000,1.0
