id,time,appCat.social
AS14.01,2014-03-26 16:55:55.790,21.191
AS14.01,2014-03-26 17:03:43.575,2.1
AS14.01,2014-03-26 17:07:42.894,13.975
AS14.01,2014-03-26 17:13:01.377,21.292
AS14.01,2014-03-26 17:13:27.727,34.437
AS14.01,2014-03-26 17:16:54.780,65.333
AS14.01,2014-03-26 17:18:34.894,27.232
AS14.01,2014-03-26 17:22:11.062,7.085
AS14.01,2014-03-26 18:54:21.773,38.565
AS14.01,2014-03-26 20:57:23.177,499.625
AS14.01,2014-03-26 21:07:23.471,3.008
AS14.01,2014-03-26 21:18:52.232,90.28
AS14.01,2014-03-26 21:34:48.190,47.272
AS14.01,2014-03-26 22:21:56.897,20.939
AS14.01,2014-03-26 22:28:31.357,3.041
AS14.01,2014-03-26 23:16:10.545,81.096
AS14.01,2014-03-26 23:18:43.750,3.013
AS14.01,2014-03-26 23:33:10.917,90.344
AS14.01,2014-03-26 23:37:22.901,11.048
AS14.01,2014-03-26 23:37:34.969,17.056
AS14.01,2014-03-26 23:44:58.052,109.37
AS14.01,2014-03-26 23:48:34.822,81.319
AS14.01,2014-03-26 23:50:14.825,154.867
AS14.01,2014-03-26 23:52:50.924,653.041
AS14.01,2014-03-27 07:55:03.562,494.614
AS14.01,2014-03-27 08:30:10.331,18.08
AS14.01,2014-03-27 08:30:56.776,149.617
AS14.01,2014-03-27 08:33:54.552,43.11
AS14.01,2014-03-27 09:05:43.101,12.038
AS14.01,2014-03-27 10:39:30.990,31.343
AS14.01,2014-03-27 14:55:38.760,26.111
AS14.01,2014-03-27 18:31:04.737,20.283
AS14.01,2014-03-27 18:55:45.803,56.181
AS14.01,2014-03-27 20:03:40.414,58.518
AS14.01,2014-03-27 20:15:26.950,9.44
AS14.01,2014-03-27 20:23:56.796,4.011
AS14.01,2014-03-27 20:24:00.845,12.035
AS14.01,2014-03-28 10:26:51.743,33.31
AS14.01,2014-03-28 11:21:17.109,47.381
AS14.01,2014-03-28 12:22:26.384,80.35
AS14.01,2014-03-28 12:33:27.069,11.466
AS14.01,2014-03-28 12:40:56.460,4.184
AS14.01,2014-03-28 12:41:51.186,10.711
AS14.01,2014-03-28 12:53:12.476,5.909
AS14.01,2014-03-28 12:53:38.823,8.978
AS14.01,2014-03-28 12:54:46.801,11.7
AS14.01,2014-03-28 13:11:14.237,39.159
AS14.01,2014-03-28 14:41:13.188,50.339
AS14.01,2014-03-28 17:57:01.497,53.736
AS14.01,2014-03-28 17:58:10.793,37.489
AS14.01,2014-03-28 18:03:11.112,4.019
AS14.01,2014-03-28 18:03:56.993,46.439
AS14.01,2014-03-28 19:33:03.937,50.204
AS14.01,2014-03-28 20:44:23.763,9.503
AS14.01,2014-03-28 20:44:35.467,2.033
AS14.01,2014-03-28 20:46:28.990,2.819
AS14.01,2014-03-28 20:46:50.042,3.012
AS14.01,2014-03-29 12:01:24.417,123.696
AS14.01,2014-03-29 12:06:45.285,137.66
AS14.01,2014-03-29 12:09:06.977,42.295
AS14.01,2014-03-29 12:24:58.556,26.298
AS14.01,2014-03-29 12:26:16.190,3.029
AS14.01,2014-03-29 12:51:26.818,109.793
AS14.01,2014-03-29 17:13:30.615,27.107
AS14.01,2014-03-29 17:14:01.868,3.01
AS14.01,2014-03-30 11:20:30.278,28.061
AS14.01,2014-03-30 11:51:36.141,129.404
