id,time,appCat.game
AS14.23,2014-04-01 09:19:21.464,37.178
AS14.23,2014-04-01 19:41:43.897,12.122
AS14.23,2014-04-01 19:44:32.354,2.226
AS14.23,2014-04-01 19:48:17.359,4.012
AS14.23,2014-04-02 15:01:42.017,42.667
AS14.23,2014-04-02 23:39:18.246,34.748
AS14.23,2014-04-02 23:40:06.796,76.965
AS14.23,2014-04-02 23:41:40.766,72.727
AS14.23,2014-04-02 23:42:54.456,17.151
AS14.23,2014-04-03 17:26:02.335,106.443
AS14.23,2014-04-03 18:43:14.926,66.28
AS14.23,2014-04-03 18:44:21.979,75.35
AS14.23,2014-04-03 19:24:02.042,24.893
AS14.23,2014-04-03 19:24:41.677,101.495
AS14.23,2014-04-03 19:26:23.709,42.198
AS14.23,2014-04-03 19:27:46.802,25.741
AS14.23,2014-04-03 19:29:20.346,28.093
AS14.23,2014-04-03 21:22:13.224,45.179
AS14.23,2014-04-03 23:08:06.848,117.604
AS14.23,2014-04-04 10:14:20.029,89.693
AS14.23,2014-04-04 10:50:21.348,5.31
AS14.23,2014-04-04 10:50:27.158,6.018
AS14.23,2014-04-05 17:57:43.069,14.148
AS14.23,2014-04-05 18:00:42.312,4.028
AS14.23,2014-04-05 18:00:59.392,199.475
AS14.23,2014-04-05 18:09:28.529,5.853
AS14.23,2014-04-05 18:13:36.765,4.02
AS14.23,2014-04-05 21:27:27.773,15.481
AS14.23,2014-04-05 21:40:09.750,10.279
AS14.23,2014-04-05 21:41:38.730,131.944
AS14.23,2014-04-05 22:14:57.775,5.255
AS14.23,2014-04-05 22:22:00.723,3.753
AS14.23,2014-04-05 22:38:08.693,8.175
AS14.23,2014-04-05 22:49:43.782,10.742
AS14.23,2014-04-05 23:33:16.765,9.846
AS14.23,2014-04-06 23:11:19.171,14.344
AS14.23,2014-04-06 23:17:25.263,21.276
AS14.23,2014-04-06 23:24:06.773,2.007
AS14.23,2014-04-08 00:01:18.263,40.278
AS14.23,2014-04-08 22:51:12.357,27.308
AS14.23,2014-04-08 22:52:04.930,12.055
AS14.23,2014-04-09 18:45:48.739,115.422
AS14.23,2014-04-10 01:33:29.344,1322.513
AS14.23,2014-04-10 01:55:32.654,5491.793
AS14.23,2014-04-10 03:27:05.223,23.205
AS14.23,2014-04-10 03:27:48.668,5.288
AS14.23,2014-04-10 03:28:48.364,3157.363
AS14.23,2014-04-10 13:55:58.282,80.939
AS14.23,2014-04-10 13:57:20.051,59.439
AS14.23,2014-04-10 14:49:07.834,55.531
AS14.23,2014-04-10 14:50:13.157,445.963
AS14.23,2014-04-10 14:57:48.875,91.522
AS14.23,2014-04-10 14:59:33.785,27.159
AS14.23,2014-04-10 15:00:03.960,39.139
AS14.23,2014-04-10 15:01:18.301,1140.976
AS14.23,2014-04-10 15:20:34.328,362.734
AS14.23,2014-04-10 16:23:50.943,3.33
AS14.23,2014-04-10 16:36:44.811,4.581
AS14.23,2014-04-10 16:37:03.744,2.275
AS14.23,2014-04-10 16:39:13.176,5.431
AS14.23,2014-04-10 17:14:46.703,12.466
AS14.23,2014-04-10 20:12:27.851,4.012
AS14.23,2014-04-10 23:38:48.992,49.416
AS14.23,2014-04-10 23:39:39.111,280.139
AS14.23,2014-04-10 23:45:38.880,4.012
AS14.23,2014-04-10 23:55:00.371,245.92
AS14.23,2014-04-10 23:59:12.138,81.349
AS14.23,2014-04-11 02:36:27.230,50.242
AS14.23,2014-04-11 13:24:16.355,63.473
