id,time,appCat.unknown
AS14.05,2014-04-18 18:35:47.013,101.714
AS14.05,2014-04-18 18:39:30.309,0.902
AS14.05,2014-04-18 18:41:53.135,0.777
AS14.05,2014-04-18 18:42:53.186,0.84
AS14.05,2014-04-18 18:44:51.164,0.471
AS14.05,2014-04-18 19:14:53.298,6.073
AS14.05,2014-04-18 19:20:38.190,23.469
AS14.05,2014-04-18 19:21:23.611,2.009
AS14.05,2014-04-18 19:30:09.789,56.264
AS14.05,2014-04-19 11:13:05.207,1.015
AS14.05,2014-04-19 11:13:06.226,74.244
AS14.05,2014-04-19 11:44:24.105,4.019
AS14.05,2014-04-19 12:00:49.236,26.51
AS14.05,2014-04-20 17:30:21.323,74.41
AS14.05,2014-04-20 20:32:22.244,1.003
AS14.05,2014-04-20 20:32:23.266,92.107
AS14.05,2014-04-20 20:39:47.121,0.785
AS14.05,2014-04-20 20:39:55.953,5.033
AS14.05,2014-04-20 23:21:23.167,7.03
AS14.05,2014-04-21 15:27:53.634,55.333
AS14.05,2014-04-22 09:50:17.730,1.05
AS14.05,2014-04-22 09:50:18.796,9.326
AS14.05,2014-04-22 14:54:09.595,82.165
AS14.05,2014-04-22 14:58:45.454,5.026
AS14.05,2014-04-23 11:46:17.263,15.328
AS14.05,2014-04-23 11:46:33.375,4.025
AS14.05,2014-04-23 17:18:29.420,73.386
AS14.05,2014-04-23 21:28:15.816,1.005
AS14.05,2014-04-23 21:28:16.829,17.406
AS14.05,2014-04-23 21:45:07.283,5.034
AS14.05,2014-04-24 11:34:31.157,1.019
AS14.05,2014-04-24 11:34:32.256,17.19
AS14.05,2014-04-24 11:35:41.598,0.134
AS14.05,2014-04-24 11:42:39.171,6.036
AS14.05,2014-04-24 17:20:13.239,1.007
AS14.05,2014-04-24 17:20:14.395,18.553
AS14.05,2014-04-24 18:35:28.273,5.255
AS14.05,2014-04-25 12:36:52.334,115.554
AS14.05,2014-04-25 12:38:48.542,6.277
AS14.05,2014-04-25 12:40:59.377,5.24
AS14.05,2014-04-25 12:55:56.144,11.668
AS14.05,2014-04-25 12:58:25.433,11.049
AS14.05,2014-04-25 13:00:07.213,6.089
AS14.05,2014-04-25 13:01:33.467,19.107
AS14.05,2014-04-25 13:32:04.644,9.043
AS14.05,2014-04-25 14:42:02.953,1.013
AS14.05,2014-04-25 14:42:04.016,16.126
AS14.05,2014-04-25 16:49:48.960,12.206
AS14.05,2014-04-25 19:55:34.891,1.004
AS14.05,2014-04-25 19:55:35.910,4.02
AS14.05,2014-04-26 18:21:20.073,3.01
AS14.05,2014-04-26 18:21:26.135,13.064
AS14.05,2014-04-28 11:47:42.934,42.352
AS14.05,2014-04-28 12:59:03.299,1.005
AS14.05,2014-04-28 12:59:04.312,58.904
AS14.05,2014-04-28 13:00:51.131,4.099
AS14.05,2014-04-28 15:02:30.095,61.598
AS14.05,2014-04-28 16:48:50.249,6.056
AS14.05,2014-04-29 15:09:55.279,1.004
AS14.05,2014-04-29 15:09:56.301,93.301
AS14.05,2014-04-29 15:16:09.592,3.205
AS14.05,2014-04-29 15:29:11.492,24.108
AS14.05,2014-04-29 15:39:27.490,6.077
AS14.05,2014-04-29 15:39:55.117,26.615
AS14.05,2014-04-29 15:41:04.019,10.054
AS14.05,2014-04-29 15:44:39.183,11.114
AS14.05,2014-04-30 13:24:37.349,13.232
AS14.05,2014-04-30 13:39:55.296,6.151
AS14.05,2014-04-30 19:17:59.046,1.013
AS14.05,2014-04-30 19:18:00.118,175.829
AS14.05,2014-04-30 19:30:45.250,7.071
AS14.05,2014-05-02 09:30:13.756,38.136
AS14.05,2014-05-02 09:46:33.006,4.047
AS14.05,2014-05-02 13:54:58.585,38.239
AS14.05,2014-05-02 20:10:07.148,1.003
AS14.05,2014-05-02 20:10:08.157,7.047
AS14.05,2014-05-02 21:47:23.290,1.002
AS14.05,2014-05-02 21:47:24.296,30.113
AS14.05,2014-05-03 11:51:39.188,1.018
AS14.05,2014-05-03 11:51:40.219,164.482
AS14.05,2014-05-03 12:08:14.423,6.317
AS14.05,2014-05-03 13:25:29.510,1.047
AS14.05,2014-05-03 13:25:30.967,23.192
AS14.05,2014-05-03 23:47:29.180,15.452
AS14.05,2014-05-03 23:49:01.062,3.008
AS14.05,2014-05-04 15:53:48.295,1.01
AS14.05,2014-05-04 15:53:49.359,64.698
AS14.05,2014-05-04 15:55:20.127,32.302
AS14.05,2014-05-04 17:27:56.292,8.045
AS14.05,2014-05-04 19:19:28.711,4.016
AS14.06,2014-05-04 15:05:28.546,22.106
