id,time,call
AS14.02,2014-03-17 12:56:45.815,1.0
AS14.02,2014-03-17 13:05:13.752,1.0
AS14.02,2014-03-17 19:54:16.625,1.0
AS14.02,2014-03-17 20:27:29.194,1.0
AS14.02,2014-03-18 07:53:11.427,1.0
AS14.02,2014-03-18 08:40:57.255,1.0
AS14.02,2014-03-18 08:50:22.844,1.0
AS14.02,2014-03-18 08:54:14.582,1.0
AS14.02,2014-03-18 08:55:20.598,1.0
AS14.02,2014-03-18 08:56:25.788,1.0
AS14.02,2014-03-18 12:03:00.130,1.0
AS14.02,2014-03-18 14:41:41.683,1.0
AS14.02,2014-03-18 14:42:51.069,1.0
AS14.02,2014-03-18 14:51:37.229,1.0
AS14.02,2014-03-18 14:52:02.117,1.0
AS14.02,2014-03-18 14:53:18.663,1.0
AS14.02,2014-03-18 14:54:26.390,1.0
AS14.02,2014-03-18 14:55:33.388,1.0
AS14.02,2014-03-18 15:00:51.720,1.0
AS14.02,2014-03-19 18:27:46.046,1.0
AS14.02,2014-03-19 18:29:02.457,1.0
AS14.02,2014-03-19 18:44:41.782,1.0
AS14.02,2014-03-19 23:14:52.895,1.0
AS14.02,2014-03-19 23:25:13.440,1.0
AS14.02,2014-03-20 09:28:44.062,1.0
AS14.02,2014-03-20 16:57:35.921,1.0
AS14.02,2014-03-20 16:58:03.184,1.0
AS14.02,2014-03-20 19:13:42.569,1.0
AS14.02,2014-03-20 21:42:02.170,1.0
AS14.02,2014-03-20 22:19:22.174,1.0
AS14.02,2014-03-20 22:59:55.852,1.0
AS14.02,2014-03-20 23:00:51.825,1.0
AS14.02,2014-03-20 23:09:11.002,1.0
AS14.02,2014-03-20 23:45:00.048,1.0
AS14.02,2014-03-21 12:13:20.118,1.0
AS14.02,2014-03-21 12:43:23.551,1.0
AS14.02,2014-03-21 17:08:52.868,1.0
AS14.02,2014-03-21 17:47:38.569,1.0
AS14.02,2014-03-21 17:50:03.500,1.0
AS14.02,2014-03-21 18:15:29.042,1.0
AS14.02,2014-03-21 21:20:42.625,1.0
AS14.02,2014-03-21 22:15:06.466,1.0
AS14.02,2014-03-21 23:24:51.334,1.0
AS14.02,2014-03-21 23:50:17.296,1.0
AS14.02,2014-03-22 04:45:53.854,1.0
AS14.02,2014-03-22 04:56:16.536,1.0
AS14.02,2014-03-22 04:57:21.509,1.0
AS14.02,2014-03-22 08:59:27.717,1.0
AS14.02,2014-03-22 13:55:11.361,1.0
AS14.02,2014-03-22 14:13:05.581,1.0
AS14.02,2014-03-22 14:54:48.618,1.0
AS14.02,2014-03-22 14:55:58.339,1.0
AS14.02,2014-03-22 16:24:52.190,1.0
AS14.02,2014-03-22 16:28:46.029,1.0
AS14.02,2014-03-22 16:28:56.878,1.0
AS14.02,2014-03-22 16:29:53.884,1.0
AS14.02,2014-03-22 16:38:32.877,1.0
AS14.02,2014-03-22 16:39:19.336,1.0
AS14.02,2014-03-22 16:39:40.473,1.0
AS14.02,2014-03-22 16:40:11.069,1.0
AS14.02,2014-03-22 16:40:35.721,1.0
AS14.02,2014-03-22 16:45:40.700,1.0
AS14.02,2014-03-22 16:45:50.776,1.0
AS14.02,2014-03-22 16:46:50.046,1.0
AS14.02,2014-03-22 16:50:15.608,1.0
AS14.02,2014-03-22 16:52:00.178,1.0
AS14.02,2014-03-22 16:54:56.658,1.0
AS14.02,2014-03-22 16:55:17.497,1.0
AS14.02,2014-03-22 22:27:59.653,1.0
AS14.02,2014-03-23 14:12:08.990,1.0
AS14.02,2014-03-23 15:04:56.592,1.0
AS14.02,2014-03-23 15:08:57.858,1.0
AS14.02,2014-03-23 16:50:22.135,1.0
AS14.02,2014-03-23 17:08:10.411,1.0
AS14.02,2014-03-23 17:21:53.437,1.0
AS14.02,2014-03-23 17:30:23.415,1.0
AS14.02,2014-03-23 17:31:55.813,1.0
AS14.02,2014-03-24 13:56:21.776,1.0
AS14.02,2014-03-24 21:52:02.585,1.0
AS14.02,2014-03-24 21:59:28.617,1.0
AS14.02,2014-03-24 23:30:23.165,1.0
AS14.02,2014-03-24 23:42:47.578,1.0
AS14.02,2014-03-25 21:15:52.421,1.0
AS14.02,2014-03-25 21:16:15.280,1.0
AS14.02,2014-03-25 21:19:51.747,1.0
AS14.02,2014-03-25 21:22:00.815,1.0
AS14.02,2014-03-25 22:28:06.536,1.0
AS14.02,2014-03-25 22:42:50.503,1.0
AS14.02,2014-03-25 22:44:25.805,1.0
AS14.02,2014-03-26 09:15:46.737,1.0
AS14.02,2014-03-26 20:32:17.282,1.0
AS14.02,2014-03-26 20:42:27.798,1.0
AS14.02,2014-03-26 21:32:25.061,1.0
AS14.02,2014-03-26 22:18:21.013,1.0
AS14.02,2014-03-27 10:43:41.914,1.0
AS14.02,2014-03-27 17:50:41.026,1.0
AS14.02,2014-03-27 19:59:54.983,1.0
AS14.02,2014-03-28 00:37:31.095,1.0
AS14.02,2014-03-28 10:23:43.884,1.0
AS14.02,2014-03-28 12:33:47.203,1.0
AS14.02,2014-03-28 22:39:06.023,1.0
AS14.02,2014-03-28 23:10:49.176,1.0
AS14.02,2014-03-28 23:14:34.875,1.0
AS14.02,2014-03-28 23:16:44.046,1.0
AS14.02,2014-03-28 23:17:08.098,1.0
AS14.02,2014-03-29 11:11:58.760,1.0
AS14.02,2014-03-29 13:31:55.497,1.0
AS14.02,2014-03-29 14:43:39.775,1.0
AS14.02,2014-03-29 15:12:31.730,1.0
AS14.02,2014-03-30 00:44:22.111,1.0
AS14.02,2014-03-30 12:51:51.953,1.0
AS14.02,2014-03-30 12:55:44.068,1.0
