id,time,appCat.office
AS14.13,2014-04-12 00:28:00.098,88.843
AS14.13,2014-04-12 00:31:52.885,108.914
AS14.13,2014-04-12 02:20:59.490,29.968
AS14.13,2014-04-12 09:41:00.029,5.032
AS14.13,2014-04-16 01:00:42.200,77.285
AS14.13,2014-04-16 01:02:00.381,13.99
AS14.13,2014-04-17 22:05:33.263,62.635
AS14.13,2014-04-17 22:08:33.075,4.171
AS14.13,2014-04-19 21:07:58.924,34.285
AS14.13,2014-04-19 22:30:23.180,62.524
AS14.13,2014-04-19 22:31:38.387,4.736
AS14.13,2014-04-19 22:31:43.586,5.076
AS14.13,2014-04-19 22:31:50.822,4.567
AS14.13,2014-04-19 22:33:07.733,8.072
AS14.13,2014-04-20 15:21:19.913,15.035
AS14.13,2014-04-27 06:02:33.473,5.276
AS14.13,2014-04-27 18:42:52.690,11.157
AS14.13,2014-04-28 17:34:30.976,16.323
AS14.13,2014-04-29 17:37:06.203,12.125
AS14.13,2014-04-29 18:00:50.142,3.033
AS14.13,2014-04-30 03:09:25.456,118.425
AS14.13,2014-05-01 14:26:31.345,69.025
AS14.13,2014-05-01 14:33:29.177,24.933
AS14.13,2014-05-01 14:38:01.451,1.024
AS14.13,2014-05-01 14:57:32.134,3.061
AS14.13,2014-05-02 05:46:31.249,39.603
AS14.13,2014-05-02 05:51:57.871,5.096
AS14.13,2014-05-02 06:00:02.188,2.004
AS14.13,2014-05-02 06:00:35.716,4.578
AS14.13,2014-05-02 06:06:32.132,2.157
AS14.13,2014-05-02 06:06:40.828,1.174
AS14.13,2014-05-02 06:19:54.809,5.532
AS14.13,2014-05-02 06:23:50.230,1.95
AS14.13,2014-05-02 06:25:51.828,5.552
AS14.14,2014-04-05 12:03:24.513,3.011
AS14.14,2014-04-17 18:43:01.908,64.407
AS14.14,2014-04-17 18:44:07.150,13.136
AS14.14,2014-04-24 13:51:12.164,32.423
AS14.15,2014-03-18 11:34:24.313,45.186
AS14.15,2014-03-21 21:02:10.378,3.01
AS14.15,2014-03-24 10:04:27.328,21.464
AS14.15,2014-03-29 15:05:32.279,9.039
AS14.15,2014-04-02 20:31:32.713,9.064
AS14.15,2014-04-14 11:44:07.177,4.028
AS14.15,2014-04-14 11:44:12.220,133.813
AS14.15,2014-04-14 11:46:29.056,5.04
AS14.15,2014-04-14 11:47:06.381,15.13
AS14.15,2014-04-17 12:38:41.107,10.038
AS14.15,2014-04-18 13:08:54.303,2.005
AS14.15,2014-04-18 13:11:17.638,2.003
AS14.15,2014-04-18 13:13:51.059,10.123
AS14.15,2014-04-18 13:17:19.855,215.336
AS14.15,2014-04-18 13:24:25.762,60.08
AS14.15,2014-04-18 13:27:14.318,36.663
AS14.15,2014-04-21 09:19:32.378,66.274
AS14.15,2014-04-21 09:28:43.874,6.026
AS14.15,2014-04-21 09:29:42.226,59.883
AS14.15,2014-04-21 10:00:14.411,30.199
AS14.15,2014-04-23 17:13:55.401,28.243
AS14.17,2014-03-21 22:17:10.170,14.064
AS14.17,2014-03-21 22:17:24.237,6.024
AS14.17,2014-03-21 22:17:30.290,9.03
AS14.17,2014-03-21 22:18:15.450,8.036
AS14.17,2014-03-21 22:18:23.489,12.052
AS14.17,2014-03-25 15:02:52.982,269.322
AS14.17,2014-03-28 21:19:45.072,30.121
AS14.17,2014-04-01 13:50:27.532,38.175
AS14.17,2014-04-01 14:45:06.214,48.957
AS14.17,2014-04-01 14:47:18.726,1.038
AS14.17,2014-04-01 14:47:19.766,291.027
AS14.17,2014-04-01 16:44:23.288,61.815
AS14.17,2014-04-01 16:56:49.362,15.057
AS14.17,2014-04-01 17:05:14.776,10.696
AS14.17,2014-04-01 17:24:13.796,5.644
AS14.17,2014-04-01 17:40:37.809,10.469
AS14.17,2014-04-01 17:42:25.150,9.078
AS14.17,2014-04-01 17:42:34.230,287.4
AS14.17,2014-04-01 17:54:04.895,9.37
AS14.17,2014-04-01 18:26:54.364,1.004
AS14.17,2014-04-02 11:58:24.209,108.069
AS14.17,2014-04-02 12:01:38.970,3.434
AS14.17,2014-04-02 12:02:23.891,55.291
AS14.17,2014-04-03 22:50:26.173,36.243
AS14.17,2014-04-04 17:24:11.904,18.094
AS14.17,2014-04-04 22:30:29.944,46.961
AS14.17,2014-04-04 22:39:02.811,2.004
AS14.17,2014-04-08 20:50:00.244,567.44
AS14.17,2014-04-08 20:59:39.413,214.042
AS14.17,2014-04-08 21:03:27.750,123.536
AS14.17,2014-04-09 15:00:16.480,13.041
AS14.17,2014-04-09 15:01:01.696,52.418
AS14.17,2014-04-09 15:02:17.509,216.745
AS14.17,2014-04-09 15:05:55.733,37.204
AS14.17,2014-04-09 15:07:57.572,13.618
AS14.17,2014-04-09 15:08:22.131,3.025
AS14.17,2014-04-09 15:09:11.872,42.151
AS14.17,2014-04-10 22:49:54.734,51.252
AS14.17,2014-04-14 08:16:10.276,148.85
AS14.17,2014-04-15 14:26:11.349,6.097
AS14.17,2014-04-15 14:26:31.535,7.029
AS14.17,2014-04-16 08:03:30.101,41.188
AS14.17,2014-04-16 09:12:46.624,14.069
AS14.17,2014-04-20 00:39:29.907,256.297
AS14.17,2014-04-23 22:48:26.322,31.128
AS14.17,2014-04-25 16:07:04.999,79.135
AS14.17,2014-04-25 16:16:55.569,40.695
AS14.17,2014-04-25 16:29:16.201,221.629
AS14.17,2014-04-25 16:33:00.950,4.821
AS14.17,2014-04-25 16:34:03.023,6.037
AS14.17,2014-04-28 09:13:41.134,13.044
AS14.17,2014-04-28 09:15:08.848,4.012
AS14.17,2014-04-28 09:15:39.963,4.166
AS14.17,2014-04-28 14:52:50.329,39.233
AS14.17,2014-04-28 15:31:14.273,85.474
AS14.17,2014-04-28 15:32:39.749,110.187
AS14.17,2014-04-28 15:36:15.920,3.036
AS14.23,2014-04-01 16:57:32.858,141.805
AS14.23,2014-04-15 15:16:17.719,15.068
AS14.23,2014-04-15 15:16:34.796,15.092
AS14.23,2014-04-15 15:32:04.770,96.511
AS14.23,2014-04-15 15:33:58.622,932.622
AS14.23,2014-04-15 15:49:40.776,22.875
AS14.23,2014-04-16 00:30:57.783,150.565
AS14.23,2014-04-16 00:33:32.473,18.222
AS14.23,2014-04-16 00:33:52.832,143.966
AS14.23,2014-04-16 00:36:19.042,127.18
AS14.23,2014-04-16 00:38:27.184,64.845
AS14.23,2014-04-16 00:39:33.345,26.165
AS14.23,2014-04-16 00:40:00.339,129.48
AS14.23,2014-04-16 00:42:31.914,119.722
AS14.23,2014-04-16 00:44:32.536,82.768
AS14.23,2014-04-16 00:45:57.357,87.191
AS14.23,2014-04-16 00:47:25.816,338.02
AS14.23,2014-04-16 00:53:05.253,16.101
AS14.23,2014-04-16 10:07:11.038,448.151
AS14.23,2014-04-16 10:15:19.778,5.21
AS14.23,2014-04-16 10:15:32.694,5.013
AS14.23,2014-04-16 13:09:22.773,331.545
AS14.23,2014-04-16 13:14:54.987,235.649
AS14.23,2014-04-16 13:18:51.789,40.897
AS14.23,2014-04-16 13:19:33.397,48.554
AS14.23,2014-04-16 13:20:22.628,15.204
AS14.23,2014-04-16 13:20:38.509,20.675
AS14.23,2014-04-16 13:20:59.921,40.506
AS14.23,2014-04-16 13:21:41.121,27.177
AS14.23,2014-04-16 13:22:08.871,15.208
AS14.23,2014-04-16 13:22:24.732,81.816
AS14.23,2014-04-16 13:23:47.196,49.865
AS14.23,2014-04-16 13:24:37.622,120.359
AS14.23,2014-04-16 13:31:37.690,5.27
AS14.23,2014-04-16 13:32:38.750,453.988
AS14.23,2014-04-16 13:40:14.200,565.041
AS14.23,2014-04-16 13:50:27.526,418.888
AS14.23,2014-04-17 07:54:19.038,2.006
AS14.23,2014-04-17 08:14:11.115,47.553
AS14.23,2014-04-17 08:14:59.717,30.95
AS14.23,2014-04-17 08:15:31.306,7.275
AS14.23,2014-04-17 08:16:18.772,140.889
AS14.23,2014-04-17 08:18:40.250,15.138
AS14.23,2014-04-17 08:18:56.026,87.708
AS14.23,2014-04-17 08:20:24.345,24.671
AS14.23,2014-04-17 08:20:49.582,28.502
AS14.23,2014-04-17 08:21:18.644,95.229
AS14.23,2014-04-17 08:22:54.608,15.244
AS14.23,2014-04-17 08:23:10.479,25.292
AS14.23,2014-04-17 08:23:36.266,15.205
AS14.23,2014-04-17 08:23:52.036,50.637
AS14.23,2014-04-17 08:24:43.246,15.18
AS14.23,2014-04-17 08:24:59.111,457.529
AS14.23,2014-04-17 08:32:37.405,110.454
AS14.23,2014-04-17 08:34:28.461,4.018
AS14.23,2014-04-17 13:40:24.884,25.345
AS14.23,2014-04-17 13:43:24.762,5.247
AS14.23,2014-04-17 13:47:06.788,2.593
AS14.23,2014-04-17 16:24:58.927,15.097
AS14.23,2014-04-17 16:44:15.141,35.968
AS14.23,2014-04-17 16:44:52.069,38.25
AS14.23,2014-04-17 16:45:32.671,17.2
AS14.23,2014-04-17 16:45:54.742,252.291
AS14.23,2014-04-17 16:50:12.901,23.359
AS14.23,2014-04-17 16:50:56.756,112.819
AS14.23,2014-04-17 16:52:56.608,126.817
AS14.23,2014-04-17 16:55:04.963,299.324
AS14.23,2014-04-17 17:10:32.697,5.061
AS14.23,2014-04-18 00:55:40.482,81.615
AS14.23,2014-04-18 00:57:04.101,110.961
AS14.23,2014-04-18 00:58:56.384,76.062
AS14.23,2014-04-18 01:00:13.299,112.019
AS14.23,2014-04-18 01:02:06.115,112.801
AS14.23,2014-04-18 01:03:59.825,82.339
AS14.23,2014-04-18 01:05:22.930,81.152
AS14.23,2014-04-18 01:06:44.799,81.048
AS14.23,2014-04-18 01:08:06.562,451.427
AS14.23,2014-04-22 09:16:31.365,241.927
AS14.23,2014-04-22 15:57:16.072,40.175
AS14.23,2014-04-22 23:33:56.654,28.524
AS14.23,2014-04-22 23:34:25.970,147.057
AS14.23,2014-04-22 23:36:53.802,21.068
AS14.23,2014-04-22 23:37:25.403,366.242
AS14.23,2014-04-22 23:43:32.408,175.549
AS14.23,2014-04-22 23:46:28.756,25.464
AS14.23,2014-04-22 23:46:56.826,146.362
AS14.23,2014-04-22 23:49:24.075,42.488
AS14.23,2014-04-22 23:50:07.332,33.548
AS14.23,2014-04-22 23:50:41.752,59.676
AS14.23,2014-04-22 23:51:42.316,23.328
AS14.23,2014-04-22 23:52:06.591,23.503
AS14.23,2014-04-22 23:52:30.950,18.358
AS14.23,2014-04-22 23:52:50.051,38.899
AS14.23,2014-04-22 23:53:29.808,23.488
AS14.23,2014-04-22 23:53:54.165,15.135
AS14.23,2014-04-22 23:54:10.051,101.256
AS14.23,2014-04-22 23:55:52.210,70.0
AS14.23,2014-04-22 23:57:03.148,68.064
AS14.23,2014-04-22 23:58:12.471,52.351
AS14.23,2014-04-22 23:59:05.503,72.593
AS14.23,2014-04-23 01:51:47.667,13.799
AS14.23,2014-04-23 09:02:19.710,4.013
AS14.23,2014-04-23 11:30:26.775,62.725
AS14.23,2014-04-23 11:51:23.782,1.879
AS14.23,2014-04-23 11:52:37.724,3.012
AS14.23,2014-04-23 11:55:41.756,25.619
AS14.23,2014-04-23 11:57:09.838,56.342
AS14.23,2014-04-23 11:58:06.828,35.151
AS14.23,2014-04-23 11:59:24.707,75.047
AS14.23,2014-04-23 12:00:42.665,17.051
AS14.23,2014-04-23 12:01:04.036,41.116
AS14.23,2014-04-23 12:01:45.898,15.22
