id,time,appCat.other
AS14.01,2014-04-14 12:19:33.094,8.025
AS14.01,2014-04-14 12:20:34.394,30.152
AS14.01,2014-04-14 14:05:21.114,37.18
AS14.01,2014-04-14 14:07:36.062,10.036
AS14.01,2014-04-14 14:07:51.111,2.358
AS14.01,2014-04-14 14:08:53.013,2.083
AS14.01,2014-04-14 14:10:03.457,13.876
AS14.01,2014-04-14 14:10:29.246,3.153
AS14.01,2014-04-14 14:59:39.875,10.064
AS14.01,2014-04-14 18:05:29.331,8.079
AS14.01,2014-04-14 21:27:07.677,9.05
AS14.01,2014-04-15 08:58:53.578,9.021
AS14.01,2014-04-15 13:08:52.701,7.153
AS14.01,2014-04-15 15:22:16.367,14.057
AS14.01,2014-04-15 20:44:44.053,61.818
AS14.01,2014-04-15 20:46:59.094,6.275
AS14.01,2014-04-15 21:24:11.434,12.091
AS14.01,2014-04-16 08:59:12.911,6.196
AS14.01,2014-04-16 11:14:10.131,4.311
AS14.01,2014-04-16 12:30:25.657,7.02
AS14.01,2014-04-16 14:58:58.622,9.217
AS14.01,2014-04-16 18:51:36.709,8.026
AS14.01,2014-04-16 21:01:42.982,6.014
AS14.01,2014-04-17 11:28:44.336,8.02
AS14.01,2014-04-17 11:58:55.536,8.295
AS14.01,2014-04-17 15:06:01.585,21.307
AS14.01,2014-04-17 18:13:51.566,9.127
AS14.01,2014-04-17 21:02:50.734,7.014
AS14.01,2014-04-18 11:43:31.157,9.108
AS14.01,2014-04-18 12:23:18.010,7.02
AS14.01,2014-04-18 14:40:21.706,4.278
AS14.01,2014-04-18 14:42:56.174,5.01
AS14.01,2014-04-18 15:29:53.493,9.232
AS14.01,2014-04-18 18:48:50.657,6.021
AS14.01,2014-04-18 23:38:35.923,7.12
AS14.01,2014-04-19 09:51:27.165,7.178
AS14.01,2014-04-19 12:27:20.105,6.016
AS14.01,2014-04-19 15:20:28.289,6.033
AS14.01,2014-04-19 18:08:31.776,6.24
AS14.01,2014-04-19 21:19:58.651,6.015
AS14.01,2014-04-20 12:59:36.023,7.119
AS14.01,2014-04-20 13:00:54.575,3.008
AS14.01,2014-04-20 15:22:08.191,7.023
AS14.01,2014-04-20 17:56:12.368,7.023
AS14.01,2014-04-20 21:09:09.571,10.029
