id,time,appCat.communication
AS14.01,2014-03-22 19:45:18.191,17.981
AS14.01,2014-03-22 19:47:36.831,7.053
AS14.01,2014-03-22 19:53:34.924,186.684
AS14.01,2014-03-22 19:57:40.473,9.69
AS14.01,2014-03-22 19:57:51.298,5.91
AS14.01,2014-03-22 19:58:38.211,20.9
AS14.01,2014-03-22 19:59:23.755,7.661
AS14.01,2014-03-22 20:00:22.924,25.547
AS14.01,2014-03-22 20:00:58.941,198.783
AS14.01,2014-03-22 20:05:04.000,4.601
AS14.01,2014-03-22 20:05:36.956,12.34
AS14.01,2014-03-22 20:12:54.145,24.698
AS14.01,2014-03-22 20:13:30.119,54.001
AS14.01,2014-03-22 20:14:36.476,10.608
AS14.01,2014-03-22 20:17:20.003,223.482
AS14.01,2014-03-22 20:39:29.279,15.82
AS14.01,2014-03-22 20:41:02.987,280.961
AS14.01,2014-03-22 20:45:45.030,235.116
AS14.01,2014-03-22 20:51:19.119,45.666
AS14.01,2014-03-22 20:53:54.673,3.162
AS14.01,2014-03-22 20:54:08.993,27.029
AS14.01,2014-03-22 20:56:44.588,29.022
AS14.01,2014-03-22 20:59:30.190,60.23
AS14.01,2014-03-22 21:06:22.710,2.224
AS14.01,2014-03-22 21:09:36.875,13.816
AS14.01,2014-03-22 21:09:56.976,3.013
AS14.01,2014-03-22 21:10:12.049,4.161
AS14.01,2014-03-22 21:16:31.999,23.771
AS14.01,2014-03-22 22:19:53.441,8.809
AS14.01,2014-03-22 22:20:14.230,5.362
AS14.01,2014-03-22 23:00:40.997,51.05
AS14.01,2014-03-22 23:01:53.658,2.309
AS14.01,2014-03-22 23:01:59.035,6.684
AS14.01,2014-03-23 10:00:50.859,208.18
AS14.01,2014-03-23 10:05:00.214,35.105
AS14.01,2014-03-23 10:05:53.421,24.074
AS14.01,2014-03-23 10:06:29.664,5.011
AS14.01,2014-03-23 10:06:46.720,2.009
AS14.01,2014-03-23 12:17:49.746,53.388
AS14.01,2014-03-23 12:38:39.336,765.418
AS14.01,2014-03-23 12:51:30.023,127.486
AS14.01,2014-03-23 12:54:04.641,20.386
AS14.01,2014-03-23 12:54:31.877,59.88
AS14.01,2014-03-23 12:56:13.917,13.19
AS14.01,2014-03-23 12:58:13.398,83.005
AS14.01,2014-03-23 13:09:59.703,104.472
AS14.01,2014-03-23 13:11:45.914,5.201
AS14.01,2014-03-23 13:17:37.569,3.425
AS14.01,2014-03-23 13:22:11.358,9.082
AS14.01,2014-03-23 13:47:25.470,64.51
AS14.01,2014-03-23 13:49:20.394,320.353
